projectname;packageandclass;path;Readability;Understandability;Complexity_inv;Modularization_inv;Overall;Code_Health;TD_Time;TD_Ratio;MI;line;cbo;cbod;cboi;cgc;cyc;dac;dit;lcom4;lpc;mll;mnd;mpc;nlam;nle;noa;noc;nod;noi;noi_ic;nolm;nom;non;non_am;non_lm;non_m;nop;nos;nos_am;nos_deeper_4;nos_lm;nos_m;rfc;rfc_ic
aoi;artofillusion.animation.ActorEditorWindow;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\ActorEditorWindow.java;1;2;2;1;2;8.99;242;0.02;21.0269;27;30;26;7;45;61;79;1;1;6;27;2;71;36;2;1;0;0;48;59;40;13;904;56.69231;356;691;1;451;28.30769;3;145;322;61;72
aoi;artofillusion.animation.AnimationPreviewer;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\AnimationPreviewer.java;2;2;1;1;3;8.73;354;0.05;23.5925;m;16;14;3;37;31;65;0;1;6;62;5;37;31;5;1;0;0;31;31;31;6;570;94.16667;314;555;1;289;48.5;3;141;281;37;37
aoi;artofillusion.animation.distortion.CustomDistortion;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\distortion\CustomDistortion.java;1;3;1;1;2;8.96;25;0.01;35.6171;19;10;9;1;36;32;46;1;1;2;42;3;13;10;3;1;0;0;12;12;10;4;271;72.25;127;270;1;110;32;0;51;109;16;16
aoi;artofillusion.animation.FilterParameterTrack;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\FilterParameterTrack.java;1;2;1;0;2;9.24;144;0.02;19.0213;24;17;16;1;38;57;99;1;2;11;27;3;56;31;2;1;0;0;50;50;31;27;731;29.80769;231;730;1;393;16.65385;0;109;392;77;77
aoi;artofillusion.animation.IKTrack;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\IKTrack.java;1;2;1;0;2;9.84;264;0.02;22.2977;25;22;22;3;65;77;109;1;4;12;35;3;57;24;3;1;0;0;29;48;26;20;847;22.4;80;414;1;464;13.55;0;50;241;49;68
aoi;artofillusion.animation.NullKeyframe;aoi\sourcefile.s\ArtOfIllusion\src\artofillusion\animation\NullKeyframe.java;0;1;3;3;0;9.39;20;0.02;49.1486;18;3;1;2;0;11;13;0;7;0;0;0;1;11;0;1;0;0;0;0;11;11;62;8.71429;27;61;1;32;4.42857;0;9;31;11;11
aoi;artofillusion.animation.PositionTrack;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\PositionTrack.java;2;0;1;1;2;7.23;194;0.01;12.5673;24;38;22;18;105;121;152;1;2;5;13;5;77;57;3;1;0;0;69;69;57;40;1195;34.21053;248;1182;1;648;19.86842;24;127;641;109;109
aoi;artofillusion.animation.Skeleton;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\Skeleton.java;2;3;0;0;3;7.34;242;0.02;12.0646;22;54;13;43;145;106;271;0;2;37;77;4;58;25;4;0;0;0;53;53;25;20;1563;82.89474;320;1556;0;596;32.15789;10;139;592;73;73
aoi;artofillusion.animation.SkeletonTool;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\SkeletonTool.java;1;2;1;0;2;6.33;168;0.02;17.4726;24;29;23;7;83;71;150;1;2;11;55;4;77;29;3;1;1;1;75;75;29;11;996;91.81818;314;982;1;472;44.81818;11;167;465;86;86
aoi;artofillusion.animation.VerticalAxis;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\animation\VerticalAxis.java;1;2;2;2;1;9.68;12;0.01;37.3628;23;1;0;1;13;16;0;1;1;3;26;2;1;12;2;1;0;0;0;0;12;4;216;54.5;114;213;1;91;23.5;0;48;89;4;4
aoi;artofillusion.ApplicationPreferences;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\ApplicationPreferences.java;2;2;2;2;2;9.1;38;0;19.3701;22;46;15;35;41;60;54;0;1;5;24;4;31;45;4;0;0;0;22;22;45;34;520;17.18182;110;519;0;350;12.0303;3;71;349;56;56
aoi;artofillusion.CreateCubeTool;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\CreateCubeTool.java;1;2;1;1;2;9.84;86;0.03;34.9498;23;14;14;1;17;14;43;1;2;0;0;3;34;11;3;1;0;0;34;34;11;7;238;34.14286;197;235;1;129;18.71429;0;102;127;41;41
aoi;artofillusion.CreateCylinderTool;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\CreateCylinderTool.java;0;1;2;2;1;9.84;71;0.02;33.8838;23;16;16;1;18;16;45;1;2;0;0;3;38;13;3;1;0;0;38;38;13;8;260;32.875;196;257;1;140;17.875;0;101;138;46;46
aoi;artofillusion.CreateVertexTool;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\CreateVertexTool.java;1;2;0;1;3;6.72;166;0.02;21.8956;22;23;22;1;53;49;144;2;2;7;59;3;50;16;3;2;0;0;46;46;16;11;703;65.36364;364;702;1;310;29.63636;0;102;309;57;57
aoi;artofillusion.CurveViewer;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\CurveViewer.java;2;2;0;1;2;7.84;143;0.02;25.2434;23;19;18;3;75;60;43;4;1;9;31;4;33;8;4;4;1;1;33;33;8;5;577;118.2;282;576;1;281;59;4;139;280;38;38
aoi;artofillusion.image.ImageOrColor;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\image\ImageOrColor.java;0;1;2;2;1;9.69;10;0;34.2757;26;10;6;4;10;19;28;0;1;0;0;2;21;13;2;0;0;0;17;17;13;11;191;25.375;91;190;0;110;15.25;0;45;109;28;28
aoi;artofillusion.image.ImageSaver;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\image\ImageSaver.java;2;2;1;0;2;7.87;131;0.02;20.0649;28;14;9;5;54;50;20;0;1;4;13;4;27;33;4;0;0;0;19;19;33;12;713;85.75;261;674;0;319;39.75;3;121;306;31;31
aoi;artofillusion.keystroke.KeystrokeEditor;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\keystroke\KeystrokeEditor.java;1;1;3;2;1;10;77;0.03;37.3868;26;5;5;1;3;8;17;1;2;1;8;2;18;13;2;1;0;0;16;16;13;6;238;37;147;213;1;92;16.5;0;50;90;22;22
aoi;artofillusion.keystroke.KeystrokePreferencesPanel;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\keystroke\KeystrokePreferencesPanel.java;1;1;2;2;2;10;110;0.02;29.5314;29;10;7;5;20;31;32;1;1;2;8;2;21;16;2;1;0;0;13;14;17;9;352;36.33333;122;311;1;192;20;0;52;165;22;23
aoi;artofillusion.material.Material3D;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\material\Material3D.java;0;0;3;3;0;10;20;0.07;72.0605;17;6;5;2;0;2;4;1;0;0;0;0;1;2;0;1;1;1;1;1;2;2;16;5;9;15;1;6;1.66667;0;3;5;3;3
aoi;artofillusion.material.MaterialMapping;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\material\MaterialMapping.java;0;0;3;3;0;10;5;0;49.5993;25;42;5;40;0;14;14;0;5;0;0;0;3;16;0;0;2;2;3;3;16;14;49;4.07692;9;48;0;36;3.07692;0;7;35;17;17
aoi;artofillusion.math.Cells;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\math\Cells.java;2;3;0;0;3;7.92;183;0.03;24.409;25;5;3;2;116;49;18;0;1;12;56;7;11;21;6;0;0;0;6;7;22;8;716;69.5;290;545;0;227;27;30;112;205;14;15
aoi;artofillusion.math.Mat4;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\math\Mat4.java;1;3;0;1;2;8.95;40;0.01;19.7759;17;117;2;115;2;40;31;0;11;0;0;1;9;40;1;0;0;0;8;8;40;24;1014;54.61905;242;1013;0;204;16.04762;0;70;203;32;32
aoi;artofillusion.MoveScaleRotateObjectTool;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\MoveScaleRotateObjectTool.java;1;2;1;1;3;6.73;201;0.02;14.5845;29;24;24;1;152;96;164;1;2;11;163;7;92;41;5;1;0;0;86;86;41;18;1175;66.16667;253;1149;1;682;39.22222;101;165;670;104;104
aoi;artofillusion.object.ImplicitObject;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\object\ImplicitObject.java;1;3;0;0;3;7.43;252;0.02;11.8384;36;19;13;6;127;58;46;1;2;17;140;7;21;24;7;1;2;2;16;16;24;16;7227;57.13333;525;852;1;313;20.8;64;150;307;32;32
aoi;artofillusion.object.MeshVertex;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\object\MeshVertex.java;1;3;1;2;1;10;30;0.02;47.2493;17;57;1;56;3;5;4;0;1;0;0;2;3;6;1;0;1;1;2;2;6;3;90;44.5;65;89;0;32;15.5;0;16;31;5;5
aoi;artofillusion.object.ReferenceImage;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\object\ReferenceImage.java;2;2;2;1;1;10;42;0.01;31.485;28;10;9;1;5;18;14;1;3;0;0;1;9;18;1;1;0;0;9;9;18;15;243;20.15385;51;242;1;104;9.46154;0;33;103;24;24
aoi;artofillusion.ObjectPropertiesPanel;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\ObjectPropertiesPanel.java;1;2;1;0;3;6.44;276;0.02;12.1202;33;24;22;3;155;113;160;1;1;27;36;4;78;31;4;1;0;0;69;69;31;14;1315;96.71429;594;1314;1;680;51.35714;10;299;679;83;83
aoi;artofillusion.ObjectViewer;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\ObjectViewer.java;1;2;0;0;1;8.02;104;0.01;16.6085;26;47;22;25;108;84;58;2;1;5;60;5;79;35;4;2;1;6;72;72;35;22;827;39.59091;172;826;1;487;24.13636;28;115;486;94;94
aoi;artofillusion.procedural.AbsModule;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\procedural\AbsModule.java;0;0;3;3;0;10;22;0.02;48.871;20;7;5;2;6;11;18;1;1;0;0;1;8;8;1;1;0;0;7;7;8;5;102;21.8;30;101;1;34;8.2;0;14;33;12;12
aoi;artofillusion.procedural.ClipModule;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\procedural\ClipModule.java;1;1;3;2;0;10;37;0.01;33.5627;23;9;8;1;14;25;34;1;1;0;0;2;16;14;2;1;0;0;13;13;14;12;247;22.33333;76;246;1;120;11.75;0;43;119;25;25
aoi;artofillusion.procedural.ColorDarkenModule;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\procedural\ColorDarkenModule.java;2;2;3;2;1;10;14;0.01;44.2749;20;6;5;1;8;8;24;1;1;0;0;1;8;6;1;1;0;0;8;8;6;3;128;43;67;127;1;47;16;0;36;46;11;11
aoi;artofillusion.procedural.ColorLightenModule;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\procedural\ColorLightenModule.java;1;1;2;2;1;10;14;0.01;44.2749;20;6;5;1;8;8;24;1;1;0;0;1;8;6;1;1;0;0;8;8;6;3;128;43;67;127;1;47;16;0;36;46;11;11
aoi;artofillusion.procedural.ColorScaleModule;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\procedural\ColorScaleModule.java;1;1;2;3;1;10;12;0.01;49.7341;20;6;5;1;5;7;22;1;1;0;0;1;9;6;1;1;0;0;9;9;6;3;101;34;48;100;1;32;11;0;23;31;12;12
aoi;artofillusion.procedural.ColorSumModule;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\procedural\ColorSumModule.java;0;1;2;3;1;10;12;0.01;48.5225;20;6;5;1;6;7;23;1;1;0;0;1;8;6;1;1;0;0;8;8;6;3;112;37.66667;54;111;1;35;12;0;25;34;11;11
aoi;artofillusion.procedural.MaxModule;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\procedural\MaxModule.java;1;2;2;2;2;9.66;82;0.04;38.4773;18;7;4;3;20;21;25;1;1;0;0;3;7;10;1;1;0;0;6;6;10;5;192;39.6;114;190;1;74;16;0;50;72;11;11
aoi;artofillusion.procedural.NumberModule;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\procedural\NumberModule.java;1;1;3;2;1;10;30;0.01;40.2258;23;12;8;4;1;12;21;1;1;0;0;1;13;11;1;1;0;0;11;11;11;10;130;15.22222;44;129;1;63;7.77778;0;26;62;21;21
aoi;artofillusion.procedural.RGBModule;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\procedural\RGBModule.java;1;1;3;3;0;10;12;0.01;49.5878;20;5;4;1;5;8;26;1;1;0;0;1;6;6;1;1;0;0;6;6;6;3;114;38.33333;57;113;1;29;10;0;21;28;9;9
aoi;artofillusion.raytracer.PhotonMap;aoi\sourcefiles\Renderers\src\artofillusion\raytracer\PhotonMap.java;2;2;0;0;3;3.27;480;0.02;4.2056;28;38;23;17;312;199;209;0;1;18;140;5;85;41;5;0;0;0;70;70;41;24;2274;96.70833;593;2273;0;998;43.54167;87;278;997;94;94
aoi;artofillusion.raytracer.RTDirectionalLight;aoi\sourcefiles\Renderers\src\artofillusion\raytracer\RTDirectionalLight.java;0;1;2;3;0;10;0;0;53.0982;20;9;8;1;3;6;8;1;1;0;0;1;12;4;1;1;0;0;12;12;4;3;59;20;29;58;1;29;10;0;16;28;15;15
aoi;artofillusion.raytracer.RTEllipsoid;aoi\sourcefiles\Renderers\src\artofillusion\raytracer\RTEllipsoid.java;1;2;0;1;2;7.25;72;0.01;20.119;21;18;15;4;76;73;56;1;1;0;0;5;28;27;2;1;0;0;20;25;28;8;961;101;254;768;1;411;42.75;19;102;302;28;33
aoi;artofillusion.raytracer.RTTriangleLowMemory;aoi\sourcefiles\Renderers\src\artofillusion\raytracer\RTTriangleLowMemory.java;1;3;1;0;3;6.07;105;0.01;18.5245;23;18;16;3;125;100;89;1;2;0;0;3;24;17;3;1;0;0;16;20;18;9;1030;96.55556;237;861;1;415;39.66667;0;90;349;25;29
aoi;artofillusion.RotateObjectTool;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\RotateObjectTool.java;2;2;1;1;2;8.21;220;0.03;21.8196;23;15;12;3;73;53;114;1;3;9;39;5;38;29;4;1;0;0;37;37;29;11;697;64.09091;251;677;1;359;33.81818;19;132;350;48;48
aoi;artofillusion.Scene;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\Scene.java;1;3;1;0;3;4.08;720;0.02;0.3467;32;221;39;203;291;279;267;0;2;70;48;5;116;133;5;0;0;0;98;98;133;98;2438;30.54762;459;2419;0;1548;20.10714;33;282;1542;196;196
aoi;artofillusion.SceneChangedEvent;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\SceneChangedEvent.java;0;0;3;3;0;10;0;0;67.0568;21;7;1;6;0;2;4;0;0;0;0;0;0;3;0;0;0;0;0;0;3;2;10;5;6;9;0;9;4.5;0;5;8;2;2
aoi;artofillusion.SceneViewer;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\SceneViewer.java;1;2;1;1;3;5.03;440;0.03;11.0619;25;30;23;9;226;148;111;2;1;13;47;7;97;31;7;2;0;0;88;88;31;19;1396;80.33333;417;1395;1;702;41.77778;64;205;701;107;107
aoi;artofillusion.script.ScriptedObjectController;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\script\ScriptedObjectController.java;0;1;2;3;1;10;5;0;39.0126;21;14;11;5;10;17;25;0;2;2;11;2;26;13;2;0;0;0;24;24;13;8;134;20.42857;50;133;0;92;14.42857;0;36;91;32;32
aoi;artofillusion.SplineMeshEditorWindow;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\SplineMeshEditorWindow.java;2;3;0;0;3;3.48;1020;0.04;2.6554;25;44;43;3;485;281;318;3;1;80;106;6;128;58;6;5;0;0;109;109;58;41;3199;79.90244;371;3198;2;1389;35.7561;159;161;1388;150;150
aoi;artofillusion.spmanager.HttpSPMFileSystem;aoi\sourcefiles\SPManager\src\artofillusion\spmanager\HttpSPMFileSystem.java;3;2;1;0;3;5.26;1200;0.05;7.4478;44;16;12;6;240;142;77;1;4;12;113;9;32;25;7;1;0;0;19;18;28;14;1788;110.30769;546;1409;1;907;59.46154;121;287;748;33;32
aoi;artofillusion.spmanager.InstallSplitPane;aoi\sourcefiles\SPManager\src\artofillusion\spmanager\InstallSplitPane.java;1;3;1;0;2;5.54;840;0.05;8.4099;36;20;11;11;212;132;98;2;1;10;83;11;62;40;9;2;0;0;40;40;40;27;1424;58.76;430;1420;1;793;33.28;164;207;790;67;67
aoi;artofillusion.spmanager.SPManagerPlugin;aoi\sourcefiles\SPManager\src\artofillusion\spmanager\SPManagerPlugin.java;2;2;0;0;2;4.53;1440;0.08;10.2008;33;21;13;11;269;130;58;0;7;6;121;9;39;23;8;1;0;0;31;31;23;12;1584;130.83333;485;1570;1;756;62;195;231;744;43;43
aoi;artofillusion.spmanager.SPManagerUtils;aoi\sourcefiles\SPManager\src\artofillusion\spmanager\SPManagerUtils.java;2;1;1;1;2;7.24;480;0.06;18.5615;32;12;4;8;123;77;6;0;5;8;45;7;4;14;7;0;0;0;2;2;15;12;670;54;178;648;0;323;25.75;51;84;309;14;14
aoi;artofillusion.spmanager.SPMFileSystem;aoi\sourcefiles\SPManager\src\artofillusion\spmanager\SPMFileSystem.java;0;1;3;3;1;9.69;1452;0.09;39.8343;17;7;1;6;17;23;3;0;2;4;9;2;1;19;2;0;2;2;0;0;19;10;145;15.7;66;136;0;97;11.3;0;39;92;10;10
aoi;artofillusion.spmanager.SPMTranslate;aoi\sourcefiles\SPManager\src\artofillusion\spmanager\SPMTranslate.java;1;1;2;2;1;9.1;526;0.02;18.8975;34;15;0;15;22;44;0;0;12;0;0;3;6;24;2;0;0;0;0;0;24;22;414;34.08333;86;409;0;208;17;0;42;204;22;22
aoi;artofillusion.texture.FaceVertexParameterValue;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\texture\FaceVertexParameterValue.java;1;1;1;2;1;8.66;50;0.01;25.6178;19;16;6;10;55;47;12;0;1;22;14;3;7;16;3;1;0;0;4;4;16;14;445;50.77778;231;444;1;199;23.44444;0;113;198;18;18
aoi;artofillusion.texture.UniformTexture;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\texture\UniformTexture.java;1;1;2;2;1;9.15;131;0.02;23.7436;23;35;14;24;11;35;44;1;2;0;0;2;32;21;2;1;0;0;23;23;21;12;537;53.09091;251;536;1;251;27.09091;0;130;250;35;35
aoi;artofillusion.tools.ArraySpec;aoi\sourcefiles\Tools\src\artofillusion\tools\ArraySpec.java;1;3;1;0;2;7.85;434;0.05;17.7841;29;13;12;1;83;62;155;0;2;12;63;3;60;41;3;0;0;0;51;51;41;12;848;87.8;169;836;0;448;48.3;0;98;441;63;63
aoi;artofillusion.TransformPointsDialog;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\TransformPointsDialog.java;0;1;3;2;1;10;30;0.01;36.9797;24;3;3;0;12;15;18;1;1;3;11;2;9;10;2;1;0;0;6;6;10;7;219;31.71429;120;218;1;92;13.57143;0;37;91;13;13
aoi;artofillusion.translators.OBJImporter;aoi\sourcefiles\Translators\src\artofillusion\translators\OBJImporter.java;2;3;0;0;3;4.57;1320;0.07;9.0305;26;34;33;1;366;171;167;0;1;33;238;12;77;7;8;0;0;0;63;65;10;7;1918;219.625;1164;1757;0;861;95.625;285;502;765;70;72
aoi;artofillusion.translators.POVExporter;aoi\sourcefiles\Translators\src\artofillusion\translators\POVExporter.java;2;3;1;0;3;4.75;960;0.06;9.2164;24;28;27;1;152;87;142;0;1;13;15;12;72;17;4;0;0;0;65;65;17;8;2400;264.55556;1601;2381;0;905;99.44444;445;584;895;73;73
aoi;artofillusion.translators.TextureImageExporter;aoi\sourcefiles\Translators\src\artofillusion\translators\TextureImageExporter.java;1;2;1;2;2;7.57;167;0.04;28.8091;25;19;17;2;109;53;78;0;1;4;31;6;18;21;5;0;0;0;16;16;21;7;471;67;317;458;0;189;27.57143;46;120;182;23;23
aoi;artofillusion.TriMeshSelectionUtilities;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\TriMeshSelectionUtilities.java;1;2;1;1;2;6.48;600;0.09;20.6885;22;8;7;1;156;76;93;0;3;20;112;5;10;6;5;0;0;0;7;7;6;6;683;97.42857;267;682;0;279;39.71429;58;114;278;13;13
aoi;artofillusion.TriMeshSimplifier;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\TriMeshSimplifier.java;2;2;0;0;3;3.87;8;0.02;6.3507;50;21;18;3;390;179;538;0;1;47;366;6;42;23;6;1;0;0;27;27;28;9;2393;264.55556;1013;2351;1;830;90.88889;134;368;788;36;36
aoi;artofillusion.TubeEditorWindow;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\TubeEditorWindow.java;2;3;0;0;3;7.09;381;0.03;16.1609;23;33;33;1;118;73;141;4;1;20;114;5;73;12;4;6;0;0;71;71;12;10;1208;122.1;449;1207;1;527;54;21;177;526;81;81
aoi;artofillusion.ui.DefaultDockableWidget;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\ui\DefaultDockableWidget.java;1;1;3;3;1;10;0;0;53.6556;22;2;1;1;1;4;4;1;1;0;0;1;3;3;1;1;0;0;3;3;3;3;63;31;54;62;1;34;16.5;0;27;33;6;6
aoi;artofillusion.ui.DefaultToolButton;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\ui\DefaultToolButton.java;0;0;2;3;0;9.84;46;0.02;31.9635;27;5;5;2;23;21;9;1;2;0;0;3;8;6;3;1;0;0;7;7;6;4;209;70;93;208;1;108;36.33333;0;51;107;11;11
aoi;artofillusion.ui.ToolPalette;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\ui\ToolPalette.java;2;2;2;2;1;9.1;57;0.01;23.0551;21;16;3;13;48;63;54;1;1;11;21;4;20;31;2;1;0;0;16;16;31;23;531;26.40909;95;530;1;279;14.95455;5;46;278;39;39
aoi;artofillusion.view.FlatVertexShader;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\view\FlatVertexShader.java;0;1;3;3;0;10;0;0;42.6874;20;11;7;5;0;6;20;0;2;0;0;0;13;9;0;1;0;0;13;13;9;6;91;18.8;50;90;1;44;9.4;0;26;43;19;19
aoi;artofillusion.view.GLCanvasDrawer;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\view\GLCanvasDrawer.java;2;2;0;0;2;8.07;314;0.01;7.1099;31;18;18;3;125;122;105;0;2;13;48;4;48;58;4;1;0;0;20;31;62;34;2121;56.67742;349;1687;1;882;25.25806;31;147;713;54;65
aoi;artofillusion.view.TexturedVertexShader;aoi\sourcefiles\ArtOfIllusion\src\artofillusion\view\TexturedVertexShader.java;2;2;0;1;2;9.35;44;0.01;26.3757;23;18;15;4;32;27;76;0;3;1;10;3;18;18;3;1;0;0;18;18;18;7;396;58.14286;248;393;1;185;28.14286;0;115;183;25;25
aoi;nik777.aoi.HelpPlugin;aoi\sourcefiles\HelpPlugin\src\HelpPlugin.java;2;3;0;0;3;5.37;1740;0.08;5.9141;64;16;15;1;293;157;55;0;7;13;93;8;41;34;8;1;0;0;33;33;34;15;2005;141.42857;663;1978;1;931;65.5;151;327;915;48;48
aoi;nik777.chat.ChatTextPane;aoi\sourcefiles\HelpPlugin\src\ChatTextPane.java;1;2;0;0;2;7.03;660;0.06;12.4445;71;2;1;1;103;83;2;1;1;10;49;5;11;54;5;3;0;0;2;2;54;23;911;54.23529;265;893;3;442;26.70588;8;101;431;25;25
aoi;nik777.xlate.StringEditor;aoi\sourcefiles\HelpPlugin\src\StringEditor.java;1;3;1;2;2;8.05;92;0.02;24.8927;43;2;0;2;52;59;0;0;1;4;15;3;5;13;3;0;1;1;0;0;13;7;329;65.2;160;316;0;198;39.6;0;90;188;7;7
argoUML;org.argouml.application.api.Argo;argoUML\sourcefiles\src\argouml-app\src\org\argouml\application\api\Argo.java;0;1;3;3;1;10;125;0.04;43.2699;62;38;2;36;1;6;73;0;0;0;0;0;5;53;0;0;0;0;5;5;54;4;254;5.25;9;21;0;107;3.5;0;5;14;9;9
