projectname;packageandclass;path;Readability;Understandability;Complexity_inv;Modularization_inv;Overall;Code_Health;TD_Time;TD_Ratio;MI;line;cbo;cbod;cboi;cgc;cyc;dac;dit;lcom4;lpc;mll;mnd;mpc;nlam;nle;noa;noc;nod;noi;noi_ic;nolm;nom;non;non_am;non_lm;non_m;nop;nos;nos_am;nos_deeper_4;nos_lm;nos_m;rfc;rfc_ic
argoUML;org.argouml.application.events.ArgoEventPump;argoUML\sourcefiles\src\argouml-app\src\org\argouml\application\events\ArgoEventPump.java;0;1;1;3;1;8.66;106;0.01;19.558;58;61;16;45;79;85;104;0;6;3;18;4;39;22;4;0;0;0;24;20;23;19;562;29.17647;140;494;0;305;15.64706;0;57;264;43;39
argoUML;org.argouml.cognitive.ui.PriorityNode;argoUML\sourcefiles\src\argouml-app\src\org\argouml\cognitive\ui\PriorityNode.java;1;0;3;3;0;10;1;0;46.2259;51;6;2;4;1;6;6;0;1;0;0;1;3;11;1;0;0;0;1;1;11;5;69;11.2;34;54;0;36;6;0;10;28;6;6
argoUML;org.argouml.cognitive.ui.ToDoByType;argoUML\sourcefiles\src\argouml-app\src\org\argouml\cognitive\ui\ToDoByType.java;2;2;2;1;2;9.69;10;0;34.507;54;10;9;1;34;21;22;4;2;8;35;3;13;6;3;7;0;0;12;12;6;5;201;38.8;67;194;2;121;23.4;0;41;117;17;17
argoUML;org.argouml.cognitive.UnresolvableException;argoUML\sourcefiles\src\argouml-app\src\org\argouml\cognitive\UnresolvableException.java;0;0;3;3;0;10;0;0;70.3948;44;4;0;4;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;5;4;4;4;1;4;3;0;3;3;1;1
argoUML;org.argouml.core.propertypanels.ui.EnumerationListModel;argoUML\sourcefiles\src\argouml-core-umlpropertypanels\src\org\argouml\core\propertypanels\ui\EnumerationListModel.java;0;0;3;3;0;10;0;0;62.5544;48;4;3;1;0;3;3;2;2;0;0;0;7;3;0;3;0;0;7;7;3;3;23;7.33333;8;22;1;18;5.66667;0;7;17;10;10
argoUML;org.argouml.core.propertypanels.ui.LabelledLayout;argoUML\sourcefiles\src\argouml-core-umlpropertypanels\src\org\argouml\core\propertypanels\ui\LabelledLayout.java;1;1;1;1;1;7.32;71;0.01;18.617;92;4;2;2;57;52;10;0;4;5;60;4;12;28;4;2;0;0;2;2;28;24;448;20.63636;157;444;2;263;12.31818;20;87;261;26;26
argoUML;org.argouml.core.propertypanels.ui.UMLDiscriminatorNameDocument;argoUML\sourcefiles\src\argouml-core-umlpropertypanels\src\org\argouml\core\propertypanels\ui\UMLDiscriminatorNameDocument.java;0;0;3;3;0;10;0;0;58.1084;49;5;4;1;0;3;3;2;0;0;0;0;6;4;0;5;0;0;6;6;4;3;23;6.33333;7;19;1;16;4.66667;0;6;14;9;9
argoUML;org.argouml.core.propertypanels.ui.UMLExpressionPanel;argoUML\sourcefiles\src\argouml-core-umlpropertypanels\src\org\argouml\core\propertypanels\ui\UMLExpressionPanel.java;0;0;3;2;0;10;0;0;50.0906;60;4;3;1;2;4;7;1;2;0;0;1;6;7;1;2;0;0;6;6;7;3;60;18.66667;37;53;2;35;11.33333;0;21;31;9;9
argoUML;org.argouml.core.propertypanels.ui.UMLIncludeBaseListModel;argoUML\sourcefiles\src\argouml-core-umlpropertypanels\src\org\argouml\core\propertypanels\ui\UMLIncludeBaseListModel.java;0;0;3;3;0;10;0;0;65.6996;48;4;4;0;0;2;2;3;1;0;0;0;6;2;0;4;0;0;6;6;2;2;13;6;8;12;1;11;5;0;7;10;8;8
argoUML;org.argouml.core.propertypanels.ui.UMLMessageActivatorComboBoxModel;argoUML\sourcefiles\src\argouml-core-umlpropertypanels\src\org\argouml\core\propertypanels\ui\UMLMessageActivatorComboBoxModel.java;0;1;2;3;1;10;0;0;45.3704;48;6;5;1;6;12;11;2;1;0;0;2;13;7;2;5;0;0;13;13;7;5;87;16.8;26;84;1;58;11.2;0;15;56;18;18
argoUML;org.argouml.core.propertypanels.ui.UMLModelElementSourceFlowListModel;argoUML\sourcefiles\src\argouml-core-umlpropertypanels\src\org\argouml\core\propertypanels\ui\UMLModelElementSourceFlowListModel.java;0;0;3;3;0;10;0;0;58.2002;47;3;3;0;2;5;4;2;1;0;0;1;6;3;1;3;0;0;6;6;3;3;30;9.66667;13;29;1;22;7;0;9;21;9;9
argoUML;org.argouml.core.propertypanels.ui.UMLOFSStateListModel;argoUML\sourcefiles\src\argouml-core-umlpropertypanels\src\org\argouml\core\propertypanels\ui\UMLOFSStateListModel.java;1;1;2;2;1;9.69;57;0.01;43.4836;54;15;14;1;32;34;38;2;1;1;11;3;35;4;3;3;0;0;12;31;6;3;259;21.66667;34;65;1;188;15.66667;0;25;47;15;34
argoUML;org.argouml.core.propertypanels.ui.UMLSignalComboBoxModel;argoUML\sourcefiles\src\argouml-core-umlpropertypanels\src\org\argouml\core\propertypanels\ui\UMLSignalComboBoxModel.java;0;1;2;3;0;10;16;0.01;39.9532;60;16;15;1;13;16;20;2;2;0;0;3;31;7;3;5;0;0;27;30;8;7;137;15.14286;36;106;1;100;10.71429;0;26;75;34;37
argoUML;org.argouml.core.propertypanels.ui.UMLTemplateParameterParameterComboBoxModel;argoUML\sourcefiles\src\argouml-core-umlpropertypanels\src\org\argouml\core\propertypanels\ui\UMLTemplateParameterParameterComboBoxModel.java;1;1;2;3;1;10;11;0.01;41.6544;58;10;9;1;5;12;9;2;3;1;13;1;19;9;1;5;0;0;18;18;9;7;116;15.14286;35;106;1;73;9.71429;0;25;68;25;25
argoUML;org.argouml.dev.UndoManagerWrapper;argoUML\sourcefiles\modules\dev\src\org\argouml\dev\UndoManagerWrapper.java;1;0;3;3;1;10;15;0.1;81.4119;45;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;4;3;3;3;0;4;3;0;3;3;1;1
argoUML;org.argouml.gefext.ArgoFigRect;argoUML\sourcefiles\src\argouml-app\src\org\argouml\gefext\ArgoFigRect.java;0;0;3;3;0;10;0;0;47.5873;56;1;0;1;0;6;0;1;1;0;0;0;0;7;0;2;0;0;0;0;7;6;42;9.4;14;41;2;24;5.2;0;7;23;6;6
argoUML;org.argouml.gefext.ArgoModeCreateFigLine;argoUML\sourcefiles\src\argouml-app\src\org\argouml\gefext\ArgoModeCreateFigLine.java;0;0;3;3;0;10;7;0.02;62.8318;55;3;2;1;0;2;1;1;2;0;0;0;2;2;0;1;0;0;2;2;2;2;18;5.66667;9;17;1;12;3.66667;0;5;11;4;4
argoUML;org.argouml.kernel.ProfileConfiguration;argoUML\sourcefiles\src\argouml-app\src\org\argouml\kernel\ProfileConfiguration.java;1;1;2;2;1;9.39;84;0.01;21.4211;72;59;20;40;52;61;57;1;3;14;26;3;38;31;3;2;0;0;29;29;31;22;430;22.89474;74;416;1;280;14.94737;0;48;273;51;51
argoUML;org.argouml.model.AbstractUseCasesHelperDecorator;argoUML\sourcefiles\src\argouml-core-model\src\org\argouml\model\AbstractUseCasesHelperDecorator.java;0;0;3;3;0;9.69;0;0;37.8109;48;4;3;1;0;25;6;0;1;0;0;0;24;26;0;1;1;1;24;24;26;25;130;6.29167;12;129;1;87;4.5;0;7;86;49;49
argoUML;org.argouml.model.euml.CollaborationsFactoryEUMLImpl;argoUML\sourcefiles\src\argouml-core-model-euml\src\org\argouml\model\euml\CollaborationsFactoryEUMLImpl.java;0;1;3;3;1;9.39;30;0.01;33.7317;30;6;5;2;3;25;4;0;16;0;0;1;9;24;1;3;0;0;3;3;24;23;207;11.5;59;206;2;134;7.44444;0;35;133;26;26
argoUML;org.argouml.model.euml.DataTypesHelperEUMLImpl;argoUML\sourcefiles\src\argouml-core-model-euml\src\org\argouml\model\euml\DataTypesHelperEUMLImpl.java;1;2;1;1;2;7.29;44;0.01;22.4389;38;4;3;2;62;63;7;0;9;2;14;8;4;18;3;1;0;0;1;1;18;17;559;32.82353;111;558;1;298;17.47059;98;60;297;18;18
argoUML;org.argouml.model.euml.UMLUtil;argoUML\sourcefiles\src\argouml-core-model-euml\src\org\argouml\model\euml\UMLUtil.java;2;2;1;1;1;9.69;35;0.01;31.1343;35;14;3;11;20;24;2;1;3;1;8;2;7;7;2;1;0;0;6;6;7;6;240;33.57143;70;235;1;146;20.42857;0;55;143;12;12
argoUML;org.argouml.model.euml.XmiReaderEUMLImpl;argoUML\sourcefiles\src\argouml-core-model-euml\src\org\argouml\model\euml\XmiReaderEUMLImpl.java;2;2;1;1;3;7.06;190;0.03;25.3849;49;8;8;1;91;49;6;0;4;5;55;10;11;17;9;1;0;0;10;10;17;13;375;28.46154;164;366;1;228;17.46154;46;96;223;23;23
argoUML;org.argouml.model.mdr.CollaborationsHelperMDRImpl;argoUML\sourcefiles\src\argouml-core-model-mdr\src\org\argouml\model\mdr\CollaborationsHelperMDRImpl.java;2;2;1;1;2;3.51;171;0.01;8.811;84;9;9;1;249;216;14;0;15;28;38;6;30;41;6;1;0;0;19;19;41;39;1479;39.91892;220;1472;1;816;22.08108;35;154;812;58;58
argoUML;org.argouml.model.mdr.CoreFactoryMDRImpl;argoUML\sourcefiles\src\argouml-core-model-mdr\src\org\argouml\model\mdr\CoreFactoryMDRImpl.java;2;3;0;1;3;4.09;275;0.01;0;137;19;15;5;255;383;13;1;33;12;23;4;87;150;3;4;0;0;29;29;150;147;3104;24.952;218;3094;2;1748;14.144;16;92;1743;176;176
argoUML;org.argouml.model.mdr.ModelEventPumpMDRImpl;argoUML\sourcefiles\src\argouml-core-model-mdr\src\org\argouml\model\mdr\ModelEventPumpMDRImpl.java;0;2;2;0;2;7.48;298;0.01;9.0991;101;14;14;1;124;119;14;1;4;15;46;6;41;51;4;3;0;0;17;17;51;39;1209;40.25806;184;1200;2;671;22.3871;85;117;666;56;56
argoUML;org.argouml.model.mdr.UmlFactoryMDRImpl;argoUML\sourcefiles\src\argouml-core-model-mdr\src\org\argouml\model\mdr\UmlFactoryMDRImpl.java;2;2;0;0;3;2.85;304;0.01;1.4882;178;27;27;1;349;304;55;1;3;7;28;39;315;44;6;3;0;0;291;291;44;34;2912;91.09677;826;2804;2;1590;51.67742;922;613;1585;325;325
argoUML;org.argouml.notation.providers.ActionStateNotation;argoUML\sourcefiles\src\argouml-app\src\org\argouml\notation\providers\ActionStateNotation.java;0;1;3;3;0;10;12;0.02;1.4882;54;4;3;1;3;5;4;1;1;1;10;1;6;2;1;2;1;1;6;6;2;2;46;22.5;32;45;1;29;14;0;20;28;8;8
argoUML;org.argouml.notation.providers.java.AssociationEndNameNotationJava;argoUML\sourcefiles\src\argouml-app\src\org\argouml\notation\providers\java\AssociationEndNameNotationJava.java;0;0;2;3;0;10;5;0;47.0549;54;10;9;1;3;8;8;2;2;0;0;1;10;5;1;3;0;0;9;9;5;5;67;16.5;48;66;1;39;9.5;0;29;38;14;14
argoUML;org.argouml.notation.providers.uml.ClassifierRoleNotationUml;argoUML\sourcefiles\src\argouml-app\src\org\argouml\notation\providers\uml\ClassifierRoleNotationUml.java;2;2;0;1;3;7.63;124;0.02;26.4738;76;14;12;2;70;40;27;2;2;4;81;9;25;6;5;3;0;0;23;23;6;6;344;68.6;258;343;1;221;44;63;167;220;29;29
argoUML;org.argouml.persistence.AbstractFilePersister;argoUML\sourcefiles\src\argouml-app\src\org\argouml\persistence\AbstractFilePersister.java;0;0;2;2;1;10;87;0.01;22.4659;71;37;20;18;32;56;38;1;9;3;13;3;19;28;3;2;2;6;3;8;30;24;427;13.95455;55;305;2;228;7.77273;0;34;170;27;32
argoUML;org.argouml.sequence2.diagram.FigMessage;argoUML\sourcefiles\src\argouml-core-diagrams-sequence2\src\org\argouml\sequence2\diagram\FigMessage.java;1;1;1;2;2;9.39;65;0.01;19.3386;81;26;19;10;44;68;47;2;4;3;30;4;60;39;3;18;0;0;48;48;39;33;572;19.09091;75;562;1;385;11.87879;4;40;380;81;81
argoUML;org.argouml.ui.cmd.ShortcutField;argoUML\sourcefiles\src\argouml-app\src\org\argouml\ui\cmd\ShortcutField.java;0;1;1;2;1;9.54;29;0.01;38.3147;57;6;4;2;18;20;11;1;1;1;15;3;9;5;3;1;0;0;6;6;5;3;150;49.33333;102;146;1;83;27.33333;0;61;81;9;9
argoUML;org.argouml.ui.explorer.ExplorerTreeModel;argoUML\sourcefiles\src\argouml-app\src\org\argouml\ui\explorer\ExplorerTreeModel.java;1;1;1;1;2;8.19;267;0.02;14.9397;80;15;13;5;103;80;73;1;1;19;42;5;32;28;5;3;0;0;13;16;29;20;625;28.1;96;550;3;420;19.05;27;61;369;33;36
argoUML;org.argouml.ui.explorer.rules.AbstractPerspectiveRule;argoUML\sourcefiles\src\argouml-app\src\org\argouml\ui\explorer\rules\AbstractPerspectiveRule.java;0;0;3;3;0;10;0;0;72.7447;47;80;1;79;0;3;1;0;1;0;0;0;1;3;0;1;79;79;0;0;3;3;9;2;4;8;1;8;1.75;0;4;7;3;3
argoUML;org.argouml.ui.explorer.rules.GoStateToDoActivity;argoUML\sourcefiles\src\argouml-app\src\org\argouml\ui\explorer\rules\GoStateToDoActivity.java;0;0;3;3;0;10;24;0.03;53.1036;58;5;4;1;3;6;6;1;0;0;0;1;4;3;1;2;0;0;4;4;3;3;47;11.5;24;46;1;30;7.25;0;14;29;7;7
argoUML;org.argouml.ui.SettingsTabLayout;argoUML\sourcefiles\src\argouml-app\src\org\argouml\ui\SettingsTabLayout.java;1;1;3;2;1;10;85;0.05;34.9259;65;4;4;0;0;11;12;1;5;0;0;0;5;12;0;2;0;0;4;4;12;11;120;10.63636;48;117;2;66;5.81818;0;18;64;15;15
argoUML;org.argouml.ui.ZoomSliderButton;argoUML\sourcefiles\src\argouml-app\src\org\argouml\ui\ZoomSliderButton.java;1;2;2;2;1;10;50;0.01;29.2112;80;10;4;7;19;34;5;1;1;1;9;2;13;16;2;1;0;0;2;2;18;6;326;44;120;252;1;190;25;0;59;144;8;8
argoUML;org.argouml.uml.cognitive.checklist.Init;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\cognitive\checklist\Init.java;0;1;3;2;1;7.93;5;0;14.3327;54;9;8;1;1;4;90;0;1;0;0;1;20;3;1;0;0;0;18;18;3;3;920;229.75;904;919;0;367;91.5;0;357;366;21;21
argoUML;org.argouml.uml.cognitive.critics.CrCircularInheritance;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\cognitive\critics\CrCircularInheritance.java;0;0;2;3;0;10;1;0;50.3176;61;10;9;1;3;5;8;3;1;0;0;2;11;4;2;5;0;0;12;12;4;3;63;18.66667;31;56;1;37;11;0;17;33;15;15
argoUML;org.argouml.uml.cognitive.critics.CrInvalidForkTriggerOrGuard;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\cognitive\critics\CrInvalidForkTriggerOrGuard.java;1;2;3;3;1;9.69;1;0;43.663;57;8;8;0;7;13;19;3;1;0;0;1;18;4;1;5;0;0;19;19;4;3;136;44;111;132;1;76;24.66667;0;59;74;22;22
argoUML;org.argouml.uml.cognitive.critics.CrMissingClassName;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\cognitive\critics\CrMissingClassName.java;0;0;2;3;1;9.69;16;0.01;42.0846;56;14;12;2;6;12;21;3;2;0;0;2;20;6;2;5;0;0;21;21;6;6;120;19.83333;46;119;1;73;12;0;30;72;27;27
argoUML;org.argouml.uml.cognitive.critics.CrMissingOperName;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\cognitive\critics\CrMissingOperName.java;1;1;2;3;1;10;16;0.01;41.8262;54;13;11;2;10;12;19;3;2;0;0;3;18;5;3;5;0;0;19;19;5;5;120;23.8;50;119;1;74;14.6;0;33;73;24;24
argoUML;org.argouml.uml.cognitive.critics.CrMultiComposite;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\cognitive\critics\CrMultiComposite.java;0;0;3;3;0;10;1;0;49.9531;59;10;9;1;6;7;10;3;1;0;0;3;10;4;3;5;0;0;11;11;4;4;61;15;29;60;1;39;9.5;0;18;38;15;15
argoUML;org.argouml.uml.cognitive.critics.CrNoIncomingTransitions;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\cognitive\critics\CrNoIncomingTransitions.java;0;1;2;2;0;9.46;20;0.01;37.986;57;10;9;1;20;19;19;3;1;2;20;2;24;4;2;5;0;0;24;24;4;4;163;40.5;123;162;1;102;25.25;0;76;101;28;28
argoUML;org.argouml.uml.cognitive.critics.WizMEName;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\cognitive\critics\WizMEName.java;0;0;3;3;0;10;25;0.01;38.27;56;17;6;11;13;17;6;2;1;0;0;2;10;14;2;3;1;1;11;11;14;8;115;15.375;39;108;1;73;9.625;0;22;69;19;19
argoUML;org.argouml.uml.diagram.activity.ui.FigSubactivityState;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\activity\ui\FigSubactivityState.java;0;2;1;2;1;9.69;41;0.01;25.5262;65;9;8;1;12;27;8;3;2;0;0;2;17;31;2;21;0;0;14;14;31;18;474;25.83333;136;453;1;196;11;0;28;186;32;32
argoUML;org.argouml.uml.diagram.deployment.ui.SelectionComponentInstance;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\deployment\ui\SelectionComponentInstance.java;0;0;3;3;0;10;22;0.01;47.8934;51;7;6;1;3;10;7;2;1;0;0;1;9;11;1;2;0;0;9;9;11;7;106;11.14286;22;78;1;50;6.14286;0;11;43;16;16
argoUML;org.argouml.uml.diagram.deployment.ui.UMLDeploymentDiagram;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\deployment\ui\UMLDeploymentDiagram.java;2;1;2;1;2;8.66;150;0.01;16.2594;83;48;30;18;51;83;70;3;5;1;10;10;83;52;2;14;0;0;63;63;52;32;691;21.96774;106;681;2;432;13.77419;82;71;427;95;95
argoUML;org.argouml.uml.diagram.state.ui.ButtonActionNewCallEvent;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\state\ui\ButtonActionNewCallEvent.java;0;0;3;3;0;10;0;0;68.2248;48;6;3;3;0;3;2;3;1;0;0;0;2;3;0;6;0;0;2;2;3;3;17;4;7;16;1;13;3;0;5;12;5;5
argoUML;org.argouml.uml.diagram.state.ui.FigCompositeState;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\state\ui\FigCompositeState.java;2;2;1;2;2;8.28;119;0.02;20.6807;67;16;11;7;46;49;20;4;1;4;15;5;31;25;5;22;0;0;24;24;25;23;529;23.52174;181;528;1;294;13.30435;9;65;293;47;47
argoUML;org.argouml.uml.diagram.static_structure.layout.ClassdiagramModelElementFactory;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\static_structure\layout\ClassdiagramModelElementFactory.java;1;1;3;3;0;10;0;0;52.19;59;14;13;1;6;8;12;0;0;0;0;6;7;4;1;0;0;0;6;6;4;2;72;31.5;60;63;0;37;16;11;29;32;8;8
argoUML;org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\static_structure\layout\ClassdiagramNode.java;0;0;2;2;0;10;32;0.01;21.8262;66;8;4;4;15;43;5;0;1;4;11;2;11;41;1;3;1;1;0;0;41;29;309;11.37931;64;297;2;198;7.13793;0;42;193;29;29
argoUML;org.argouml.uml.diagram.ui.ActionStereotypeViewTextual;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\ui\ActionStereotypeViewTextual.java;0;0;3;3;0;10;0;0;69.7845;50;3;3;1;0;1;3;4;0;0;0;0;1;1;0;4;0;0;1;1;1;1;8;7;7;7;1;4;3;0;3;3;2;2
argoUML;org.argouml.uml.diagram.ui.FigEdgePort;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\ui\FigEdgePort.java;0;0;3;3;1;10;0;0;40.2361;63;10;3;7;5;13;2;2;6;1;4;1;2;11;1;20;0;0;1;1;11;9;111;12.22222;30;108;1;61;6.77778;0;18;59;10;10
argoUML;org.argouml.uml.diagram.ui.FigKeyword;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\ui\FigKeyword.java;0;0;3;3;0;10;5;0;48.0585;62;7;6;1;0;5;3;3;1;0;0;0;7;6;0;5;0;0;5;5;6;5;52;13;18;51;1;35;8.75;0;15;34;10;10
argoUML;org.argouml.uml.diagram.ui.FigStereotypesGroup;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\ui\FigStereotypesGroup.java;1;2;1;1;2;8.36;54;0.01;20.2394;85;33;14;19;77;60;39;2;2;10;20;5;26;24;5;3;0;0;15;15;24;19;491;26.21053;92;484;1;302;16.21053;9;54;298;34;34
argoUML;org.argouml.uml.diagram.ui.FigUsage;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\ui\FigUsage.java;0;0;3;3;0;10;0;0;69.7845;48;3;2;1;0;1;2;3;0;0;0;0;1;1;0;19;0;0;1;1;1;1;6;5;5;5;1;4;3;0;3;3;2;2
argoUML;org.argouml.uml.diagram.ui.PathConvPercent2;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\ui\PathConvPercent2.java;1;1;3;3;0;10;5;0;36.4579;54;0;0;0;5;10;0;1;1;0;0;1;3;10;1;1;0;0;0;0;10;6;138;22.83333;68;134;1;60;10.16667;0;23;58;6;6
argoUML;org.argouml.uml.diagram.UmlDiagramRenderer;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\diagram\UmlDiagramRenderer.java;1;2;2;2;2;9.69;40;0.01;23.5299;64;17;8;9;28;28;18;0;1;3;44;6;19;9;3;2;7;8;15;15;9;9;259;25.8;70;258;2;157;15.6;23;46;156;24;24
argoUML;org.argouml.uml.reveng.ui.ImportStatusScreen;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\reveng\ui\ImportStatusScreen.java;0;1;3;3;0;10;65;0.01;28.6032;76;8;3;5;9;28;6;1;10;0;0;3;10;25;3;5;0;0;1;1;25;18;297;16.94444;158;293;3;157;9.11111;0;64;155;19;19
argoUML;org.argouml.uml.ui.ActionImportFromSources;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\ui\ActionImportFromSources.java;1;1;2;3;1;10;38;0.02;37.9267;65;13;11;2;9;12;14;2;2;0;0;1;16;6;1;3;0;0;15;15;6;4;164;38.75;99;155;2;73;17;0;41;68;19;19
argoUML;org.argouml.uml.ui.behavior.state_machines.ButtonActionNewGuard;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\ui\behavior\state_machines\ButtonActionNewGuard.java;0;0;3;3;0;10;0;0;52.2741;58;10;7;3;2;7;9;2;1;0;0;1;15;5;1;3;0;0;12;12;5;5;68;13.2;28;66;2;48;9.2;0;20;46;17;17
argoUML;org.argouml.uml.ui.behavior.state_machines.PopupMenuNewEvent;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\ui\behavior\state_machines\PopupMenuNewEvent.java;2;1;2;2;1;10;25;0.02;43.5286;56;13;13;0;5;6;31;1;1;0;0;3;10;3;2;1;0;0;9;9;3;2;130;62.5;118;125;1;63;30;0;56;60;11;11
argoUML;org.argouml.uml.ui.foundation.core.UMLAssociationEndOrderingCheckBox;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\ui\foundation\core\UMLAssociationEndOrderingCheckBox.java;0;0;3;3;0;10;0;0;60.5736;50;6;6;0;1;3;5;2;1;0;0;1;8;2;1;5;0;0;8;8;2;2;27;13;17;26;1;19;9;0;13;18;10;10
argoUML;org.argouml.uml.ui.foundation.core.UMLGeneralizableElementLeafCheckBox;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\ui\foundation\core\UMLGeneralizableElementLeafCheckBox.java;0;0;3;3;0;10;0;0;59.3427;50;5;5;0;3;4;5;2;1;0;0;1;7;2;1;5;0;0;7;7;2;2;29;14;19;28;1;19;9;0;13;18;9;9
argoUML;org.argouml.uml.ui.PropPanel;argoUML\sourcefiles\src\argouml-app\src\org\argouml\uml\ui\PropPanel.java;1;2;2;2;2;9.39;118;0.01;14.8973;98;50;22;30;59;86;60;2;10;10;23;3;48;49;3;6;4;14;35;33;51;41;670;16.41026;70;620;3;401;9.74359;0;39;366;76;74
